Bambege01,TSN Manager of the Year,1978,ML,,
Weaveea99,TSN Manager of the Year,1979,ML,,
Virdobi01,TSN Manager of the Year,1980,ML,,
Martibi02,TSN Manager of the Year,1981,ML,,
Herzowh01,TSN Manager of the Year,1982,ML,,
Larusto01,TSN Manager of the Year,1983,ML,,
Freyji99,TSN Manager of the Year,1984,ML,,
Coxbo01,TSN Manager of the Year,1985,ML,,
Lanieha01,TSN Manager of the Year,1986,NL,,
Mcnamjo99,TSN Manager of the Year,1986,AL,,
Andersp01,TSN Manager of the Year,1987,AL,,
Rodgebu01,TSN Manager of the Year,1987,NL,,
Larusto01,TSN Manager of the Year,1988,AL,,
Leylaji99,TSN Manager of the Year,1988,NL,,
Robinfr02,TSN Manager of the Year,1989,AL,,
Zimmedo01,TSN Manager of the Year,1989,NL,,
Leylaji99,TSN Manager of the Year,1990,NL,,
Torboje01,TSN Manager of the Year,1990,AL,,
Coxbo01,TSN Manager of the Year,1991,NL,,
Kellyto01,TSN Manager of the Year,1991,AL,,
Larusto01,TSN Manager of the Year,1992,AL,,
Leylaji99,TSN Manager of the Year,1992,NL,,
Coxbo01,TSN Manager of the Year,1993,NL,,
Oatesjo01,TSN Manager of the Year,1993,AL,,
Aloufe01,TSN Manager of the Year,1994,NL,,
Showabu99,TSN Manager of the Year,1994,AL,,
Baylodo01,TSN Manager of the Year,1995,NL,,
Hargrmi01,TSN Manager of the Year,1995,AL,,
Bochybr01,TSN Manager of the Year,1996,NL,,
Oatesjo01,TSN Manager of the Year,1996,AL,,
Bakerdu01,TSN Manager of the Year,1997,NL,,
Johnsda02,TSN Manager of the Year,1997,AL,,
Bochybr01,TSN Manager of the Year,1998,NL,,
Torrejo01,TSN Manager of the Year,1998,AL,,
Coxbo01,TSN Manager of the Year,1999,NL,,
Williji03,TSN Manager of the Year,1999,AL,,
Bakerdu01,TSN Manager of the Year,2000,NL,,
Manueje01,TSN Manager of the Year,2000,AL,,
Bowala01,TSN Manager of the Year,2001,NL,,
Pinielo01,TSN Manager of the Year,2001,AL,,
Coxbo01,TSN Manager of the Year,2002,NL,,
Sciosmi01,TSN Manager of the Year,2002,AL,,
Coxbo01,TSN Manager of the Year,2003,NL,,
Penato01,TSN Manager of the Year,2003,AL,,
Coxbo01,TSN Manager of the Year,2004,NL,,
Gardero01,TSN Manager of the Year,2004,AL,,
Coxbo01,TSN Manager of the Year,2005,NL,,
Guilloz01,TSN Manager of the Year,2005,AL,,
Girarjo01,TSN Manager of the Year,2006,NL,,
Leylaji99,TSN Manager of the Year,2006,AL,,
Melvibo01,TSN Manager of the Year,2007,NL,,
Wedgeer01,TSN Manager of the Year,2007,AL,,
Maddojo99,TSN Manager of the Year,2008,AL,,
Gonzafr99,TSN Manager of the Year,2008,NL,,
Sciosmi01,TSN Manager of the Year,2009,AL,,
Tracyji01,TSN Manager of the Year,2009,NL,,
Gardero01,TSN Manager of the Year,2010,AL,,
Blackbu02,TSN Manager of the Year,2010,NL,,
Maddojo99,TSN Manager of the Year,2011,AL,,
Gibsoki01,TSN Manager of the Year,2011,NL,,
Showabu99,TSN Manager of the Year,2012,AL,,
Johnsda02,TSN Manager of the Year,2012,NL,,
Farrejo03,TSN Manager of the Year,2013,AL,,
Hurdlcl01,TSN Manager of the Year,2013,NL,,
Showabu99,TSN Manager of the Year,2014,AL,,
Willima04,TSN Manager of the Year,2014,NL,,
Molitpa01,TSN Manager of the Year,2015,AL,,
Collite99,TSN Manager of the Year,2015,NL,,
Showabu99,BBWAA Manager of the year,2014,AL,,
Willima04,BBWAA Manager of the year,2014,NL,,
Banisje01,BBWAA Manager of the year,2015,AL,,
Maddojo01,BBWAA Manager of the year,2015,NL,,
