Worthhe01,1872,1,0,0,1
Wrighha01,1872,1,0,48,0
Yeatmbi01,1872,1,0,0,1
Yorkto01,1872,1,51,0,1
Zettlge01,1872,1,0,0,8
Zettlge01,1872,2,0,0,1
Addybo01,1873,2,0,0,31
Allisar01,1873,1,8,9,4
Allisdo01,1873,1,0,1,2
Allisdo01,1873,2,0,0,1
Ansonca01,1873,1,0,3,0
Atkined01,1873,1,0,0,2
Austihe01,1873,1,0,14,9
Barrebi01,1873,1,0,0,1
Battijo01,1873,1,0,1,0
Bealsto01,1873,1,1,0,0
Bechtge01,1873,1,0,1,51
Bielaos01,1873,1,2,0,36
Birdsda01,1873,1,0,0,3
Boothed01,1873,1,15,0,2
Boothed01,1873,2,0,4,12
Boydbi01,1873,1,0,0,43
Brainas01,1873,1,0,0,2
Brittji01,1873,1,0,0,3
Campbhu01,1873,1,0,0,1
Campbmi02,1873,1,0,0,1
Clappjo01,1873,1,0,1,0
Cravebi01,1873,1,0,7,0
Cuthbne01,1873,1,51,0,0
Devliji01,1873,1,0,0,1
Donnepe01,1873,1,0,6,0
Doschhe01,1873,1,0,1,0
Eggleda01,1873,1,0,53,0
Eland01,1873,1,0,0,1
Farrojo01,1873,1,0,0,3
Fishech01,1873,1,1,2,43
Frencbi01,1873,1,0,0,2
Gedneco01,1873,1,53,0,0
Hallge01,1873,1,0,35,0
Hastisc01,1873,1,0,12,0
Hatfijo01,1873,1,0,0,1
Highadi01,1873,1,0,1,18
Hinespa01,1873,1,36,0,0
Holliho01,1873,1,0,30,0
Hoopemi01,1873,1,2,0,0
Johnsto01,1873,1,1,0,0
Jones01,1873,1,0,1,0
Kernajo01,1873,1,0,1,0
Kohlehe01,1873,1,0,1,0
Leonaan01,1873,1,45,0,0
Mackde01,1873,1,1,1,3
Mannija01,1873,1,2,0,3
Martiph01,1873,1,0,0,30
Mathebo01,1873,1,0,0,5
Mcbridi01,1873,1,0,0,11
Mcmuljo01,1873,1,51,0,0
Mcveyca01,1873,1,1,4,1
Millsev01,1873,1,0,1,0
Murnati01,1873,1,0,24,6
Nelsoca01,1873,1,0,0,6
Nevinal01,1873,1,0,0,1
Orourji01,1873,1,0,0,22
Paborch01,1873,1,55,0,0
Phelpne01,1873,1,0,0,1
Pikeli01,1873,1,0,2,54
Popplge01,1873,1,0,1,0
Reachal01,1873,1,0,4,3
Remseja01,1873,1,0,50,0
Ryanjo01,1873,1,0,1,0
Saylo01,1873,1,0,0,1
Schafha01,1873,1,13,0,0
Senseco01,1873,1,0,19,0
Sheppjo01,1873,1,1,0,1
Smithbi01,1873,1,0,3,0
Smithjo01,1873,1,2,0,0
Snydepo01,1873,1,0,3,0
Spaldal01,1873,1,0,13,0
Startjo01,1873,1,0,0,2
Strated01,1873,1,0,0,1
Treacfr01,1873,1,1,51,0
Waterfr01,1873,1,0,3,1
Whitede01,1873,1,0,0,9
Wordsfa01,1873,1,0,0,1
Wrighha01,1873,1,0,58,0
Yorkto01,1873,1,56,1,0
Allisdo01,1874,1,0,3,44
Ansonca01,1874,1,0,0,8
Barnero01,1874,1,1,0,0
Barnibi01,1874,1,0,4,25
Battijo01,1874,1,0,2,5
Bealsto01,1874,1,1,2,6
Bechtge01,1874,1,1,0,28
Bielaos01,1874,1,0,1,43
Boardfr01,1874,1,0,0,1
Boothed01,1874,1,44,0,0
Boydbi01,1874,1,0,0,1
Bradyst01,1874,1,0,5,6
Brainas01,1874,1,1,1,0
Burdoja01,1874,1,2,1,0
Chapmja01,1874,1,0,1,52
Clackbo01,1874,1,1,30,0
Clappjo01,1874,1,0,1,14
Clintji01,1874,1,0,1,0
Collida01,1874,1,0,0,2
Cummica01,1874,1,0,0,1
Cuthbne01,1874,1,55,2,0
Deaneha01,1874,1,0,46,0
Devliji01,1874,1,0,0,17
Donnepe01,1874,1,0,0,3
Eggleda01,1874,1,7,50,0
Farreja01,1874,1,0,3,0
Farrojo01,1874,1,0,2,1
Fishech01,1874,1,0,8,6
Fislewe01,1874,1,0,0,1
Fleetfr01,1874,1,1,0,0
Gedneco01,1874,1,51,0,0
Geerbi01,1874,1,1,1,0
Glennjo01,1874,1,2,1,17
Hallge01,1874,1,20,21,7
Hallji01,1874,1,0,0,1
Hastisc01,1874,1,0,12,14
Hatfijo01,1874,1,58,0,0
Hicksna01,1874,1,0,4,0
Highadi01,1874,1,0,3,31
Hinespa01,1874,1,1,50,0
Hodesch01,1874,1,0,13,5
Holdsji01,1874,1,0,3,3
Jones01,1874,1,0,0,1
Kesslhe01,1874,1,2,2,0
Knowdja01,1874,1,4,0,0
Leonaan01,1874,1,51,0,0
Martial01,1874,1,1,0,0
Mathebo01,1874,1,1,0,0
Mcgeami01,1874,1,0,0,4
Mcgeepa01,1874,1,6,9,0
Mcmuljo01,1874,1,5,51,1
Mcveyca01,1874,1,0,8,49
Meyerle01,1874,1,2,0,3
Milleto01,1874,1,0,1,1
Murnati01,1874,1,0,1,13
Nelsoca01,1874,1,0,1,0
Oneal01,1874,1,0,0,1
Paborch01,1874,1,2,3,13
Patteda01,1874,1,1,0,0
Phelpne01,1874,1,0,0,6
Pikeli01,1874,1,0,27,0
Radcljo01,1874,1,0,1,14
Reachal01,1874,1,0,0,14
Reedhu01,1874,1,0,0,1
Remseja01,1874,1,8,57,0
Revilhe01,1874,1,0,0,1
Ryanjo01,1874,1,47,0,0
Selmafr01,1874,1,0,1,1
Senseco01,1874,1,0,1,4
Shaffor01,1874,1,8,0,1
Shaffor01,1874,2,0,0,1
Spaldal01,1874,1,0,6,0
Startjo01,1874,1,1,1,0
Stearbi01,1874,1,0,4,15
Sweasch01,1874,1,0,0,1
Tippeji01,1874,1,45,0,0
Treacfr01,1874,1,2,11,24
Whitede01,1874,1,0,0,21
Wrighha01,1874,1,0,40,0
Yorkto01,1874,1,49,1,0
Addybo01,1875,1,0,1,67
Allisar01,1875,1,0,1,2
Allisar01,1875,2,0,0,37
Allisdo01,1875,1,0,0,2
Ansonca01,1875,1,0,2,23
Arundha01,1875,1,0,0,1
Barnero01,1875,1,0,0,0
Barnibi01,1875,1,0,3,4
Barnibi01,1875,2,0,1,2
Battijo01,1875,1,0,1,0
Bealsto01,1875,1,3,19,8
Bechtge01,1875,2,0,3,29
Bielaos01,1875,1,4,0,48
Blongjo01,1875,1,2,2,
Bondto01,1875,1,0,0,29
Boothed01,1875,1,3,1,60
Boydbi01,1875,1,0,0,12
Bradlge01,1875,1,1,0,0
Brady01,1875,1,0,1,0
Bradyst01,1875,1,0,1,0
Bradyst01,1875,2,1,0,1
Brownol01,1875,1,0,1,1
Cassijo01,1875,1,1,0,11
Chapmja01,1875,1,0,0,43
Clackbo01,1875,1,0,16,1
Clintji01,1875,1,0,0,7
Coonwi01,1875,1,0,0,1
Cranefr01,1875,1,0,0,1
Croftar01,1875,1,10,7,2
Crowlbi01,1875,1,0,4,0
Cummica01,1875,1,2,4,0
Cuthbne01,1875,1,65,2,0
Dailejo01,1875,2,0,0,2
Dehlmhe01,1875,1,0,0,2
Devliji01,1875,1,0,3,1
Dolele01,1875,1,0,1,0
Edwar01,1875,1,0,1,0
Eggleda01,1875,1,2,65,0
Ellicjo01,1875,1,0,2,
Evans01,1875,1,1,0,0
Fieldsa01,1875,1,0,0,1
Fieldsa01,1875,2,0,0,1
Fishech01,1875,1,4,1,0
Fislewe01,1875,1,0,1,9
Fleetfr01,1875,1,0,1,0
Flintsi01,1875,1,1,0,1
Fulmewa01,1875,1,0,1,0
Galvipu01,1875,1,2,1,3
Gedneco01,1875,1,67,0,1
Geerbi01,1875,1,4,11,3
Gerhajo01,1875,1,1,0,0
Gilliba01,1875,1,0,0,1
Gilmoji01,1875,1,0,0,1
Gilro01,1875,1,0,0,1
Glennjo01,1875,1,39,7,1
Goldemi01,1875,2,25,0,2
Gouldch01,1875,1,0,0,1
Hallge01,1875,1,74,0,3
Halliji01,1875,2,0,0,1
Hallji01,1875,1,1,0,0
Harbibi01,1875,1,0,0,13
Hastisc01,1875,1,1,15,15
Hatfijo01,1875,1,1,0,0
Heifefr01,1875,1,4,1,1
Hicksna01,1875,1,0,1,4
Highadi01,1875,1,0,3,11
Highadi01,1875,2,0,0,3
Hinespa01,1875,1,4,35,0
Holdsji01,1875,1,0,43,2
Holliho01,1875,1,4,13,3
Jonesch01,1875,1,12,0,0
Jonesch01,1875,2,0,1,0
Keenaji01,1875,1,1,0,0
Kesslhe01,1875,1,0,4,3
Knowdja01,1875,1,0,3,1
Leonaan01,1875,1,73,0,0
Lovetle01,1875,1,1,0,5
Lowryjo01,1875,1,0,6,0
Luffhe01,1875,1,0,1,3
Malonfe01,1875,1,0,2,0
Mannija01,1875,1,0,2,64
Martial01,1875,1,0,6,0
Masonch01,1875,1,3,0,7
Masonch01,1875,2,8,0,0
Mathebo01,1875,1,1,0,0
Mcbridi01,1875,1,0,0,1
Mcgeami01,1875,1,0,1,2
Mcgeepa01,1875,1,0,25,0
Mcgeepa01,1875,2,0,13,0
Mcginti01,1875,1,0,0,2
Mckeljo01,1875,1,0,4,35
Mcmuljo01,1875,1,22,32,0
Mcsortr01,1875,1,6,1,
Mcveyca01,1875,1,1,20,2
Metcaal01,1875,1,0,0,2
Millejo01,1875,2,1,0,1
Mooremo01,1875,1,0,0,2
Morgapi01,1875,1,3,7,
Murnati01,1875,1,1,24,1
Nelsoca01,1875,1,1,0,0
Nichotr01,1875,1,1,2,0
Oneilj01,1875,1,0,2,1
Oranto01,1875,1,0,2,17
Orourji01,1875,1,0,44,1
Paborch01,1875,1,42,0,0
Paborch01,1875,2,6,0,0
Parksbi01,1875,1,16,1,0
Parksbi01,1875,2,2,0,0
Patteda01,1875,1,0,0,7
Phelpne01,1875,1,0,0,2
Pikeli01,1875,1,1,64,0
Quinnpa01,1875,1,0,1,1
Quinnpa02,1875,1,0,1,0
Quinnpa02,1875,2,0,1,2
Quinnpa02,1875,3,0,9,1
Reachal01,1875,1,0,0,2
Remseja01,1875,1,0,81,5
Resslla01,1875,1,0,3,17
Rextewi01,1875,1,0,0,1
Richmjo01,1875,1,2,3,6
Rileybi01,1875,1,0,0,8
Rocapad01,1875,1,0,5,7
Ryanjo01,1875,1,30,0,0
Saylo01,1875,1,0,1,0
Schafha01,1875,1,0,1,0
Sewarge01,1875,1,3,1,3
Shaff01,1875,1,0,0,1
Shaffor01,1875,1,3,8,1
Sheri01,1875,1,1,0,0
Simmojo01,1875,1,0,9,1
Spaldal01,1875,1,1,9,9
Stearbi01,1875,1,2,5,0
Stevero01,1875,1,0,0,1
Stodd01,1875,1,1,1,0
Sulli01,1875,1,0,0,2
Suttoez01,1875,1,0,0,1
Terry01,1875,1,0,1,2
Thompan01,1875,1,0,0,1
Thompfr01,1875,1,0,0,1
Tippeji01,1875,1,8,32,3
Treacfr01,1875,1,11,0,0
Treacfr01,1875,2,42,1,0
Waittch01,1875,1,2,7,23
Walkeos01,1875,1,0,0,1
Warnefr01,1875,1,0,14,0
Whitede01,1875,1,0,0,14
Whitewa01,1875,1,0,5,0
Wrighha01,1875,1,0,0,1
Yorkto01,1875,1,86,0,0
Addybo01,1876,1,3,0,29
Allisar01,1876,1,0,0,23
Allisdo01,1876,1,0,1,5
Andrufr01,1876,1,1,3,5
Bechtge01,1876,1,0,0,14
Bechtge01,1876,2,0,2,0
Berghjo01,1876,1,0,1,0
Bielaos01,1876,1,0,0,32
Blongjo01,1876,1,0,0,62
Bootham01,1876,1,0,0,3
Boothed01,1876,1,0,2,51
Bordejo01,1876,1,0,0,16
Bradlfo01,1876,1,0,0,4
Brownle01,1876,1,0,1,1
Carbijo01,1876,1,0,0,1
Cassijo01,1876,1,0,0,8
Chapmja01,1876,1,5,1,11
Clackbo01,1876,1,0,3,14
Clappjo01,1876,1,0,1,3
Clintji01,1876,1,0,0,14
Collida01,1876,1,0,2,5
Coonwi01,1876,1,0,2,29
Currepe01,1876,1,0,0,1
Cuthbne01,1876,1,63,0,0
Deando01,1876,1,0,0,5
Eggleda01,1876,1,1,37,1
Fishech01,1876,1,0,7,4
Fislewe01,1876,1,0,15,9
Fousebi01,1876,1,0,1,6
Gerhajo01,1876,1,2,0,0
Glennjo01,1876,1,56,0,0
Hallge01,1876,1,59,0,1
Halliji01,1876,1,0,0,2
Harbibi01,1876,1,0,2,4
Hastisc01,1876,1,0,65,0
Hayesmi01,1876,1,5,0,0
Highadi01,1876,1,0,0,59
Hinespa01,1876,1,0,64,0
Holdsji01,1876,1,0,49,0
Jonesch01,1876,1,10,53,1
Kesslhe01,1876,1,0,2,14
Knighlo01,1876,1,0,3,6
Leonaan01,1876,1,35,0,0
Mackde01,1876,1,1,1,0
Malonfe01,1876,1,0,0,3
Malonjo01,1876,1,0,2,0
Mannija01,1876,1,0,1,55
Mathebo01,1876,1,0,0,1
Mcbridi01,1876,1,0,0,1
Mcgeami01,1876,1,0,1,0
Mcginti01,1876,1,0,6,0
Mcveyca01,1876,1,1,0,0
Meyerle01,1876,1,0,0,3
Morrijo01,1876,1,1,3,1
Murnati01,1876,1,2,1,0
Orourji01,1876,1,9,60,0
Parksbi01,1876,1,1,0,0
Pearcdi01,1876,1,1,0,0
Phelpne01,1876,1,0,1,0
Piersda01,1876,1,1,0,29
Pikeli01,1876,1,0,62,0
Remseja01,1876,1,3,66,0
Rittewh01,1876,1,0,2,2
Ryanjo01,1876,1,63,1,0
Shandji01,1876,1,0,1,1
Snydepo01,1876,1,0,3,1
Snydere01,1876,1,54,0,1
Spaldal01,1876,1,9,1,0
Suttoez01,1876,1,0,0,4
Sweasch01,1876,1,0,0,1
Treacfr01,1876,1,52,0,5
Warnefr01,1876,1,0,1,0
Whitede01,1876,1,3,0,0
Whitnfr01,1876,1,24,0,10
Wrighha01,1876,1,0,0,1
Yorkto01,1876,1,66,1,0
Zettlge01,1876,1,0,1,0
Addybo01,1877,1,0,1,56
Bassjo01,1877,1,1,0,0
Battijo01,1877,1,0,5,0
Blongjo01,1877,1,13,4,23
Bondto01,1877,1,0,0,3
Bootham01,1877,1,1,0,0
Bradlge01,1877,1,0,0,1
Buncejo01,1877,1,1,0,0
Cassijo01,1877,1,0,1,57
Clappjo01,1877,1,2,0,9
Croftar01,1877,1,25,1,1
Crowlbi01,1877,1,0,57,2
Cummica01,1877,1,0,1,2
Cuthbne01,1877,1,12,0,0
Dehlmhe01,1877,1,1,0,0
Dorgami01,1877,1,20,1,29
Edench01,1877,1,0,0,15
Eggleda01,1877,1,0,33,0
Gerhajo01,1877,1,0,1,0
Gleasja01,1877,1,0,1,0
Glennjo01,1877,1,36,0,1
Gouldch01,1877,1,1,0,0
Hallge01,1877,1,61,0,0
Halliji01,1877,2,0,0,19
Harbibi01,1877,1,0,3,2
Hastisc01,1877,1,0,1,0
Hinespa01,1877,1,24,18,7
Holdsji01,1877,1,0,55,0
Jonesch01,1877,1,5,3,0
Jonesch01,1877,2,0,2,0
Jonesch01,1877,3,38,0,0
Laffefl01,1877,1,0,4,0
Leele01,1877,1,1,2,1
Leonaan01,1877,1,37,0,0
Littlha01,1877,1,0,3,0
Loftuto01,1877,1,1,0,2
